auroc_mean,auroc_std,acc_mean,acc_std,layer
0.9784210526315789,0.02071392500650688,0.9322537112010796,0.035706676086057015,0
0.9870637119113574,0.00978023728425812,0.9325236167341432,0.035033176750355076,1
0.9967590027700831,0.003971568912581239,0.9534412955465588,0.029860872736171284,2
0.9983933518005541,0.002119792406615919,0.9844804318488529,0.012674069508095976,3
1.0,0.0,0.989608636977058,0.012728557217329656,4
1.0,0.0,0.9843454790823213,0.012784237336345516,5
1.0,0.0,0.9947368421052631,0.010526315789473672,6
1.0,0.0,0.9947368421052631,0.010526315789473672,7
1.0,0.0,0.9947368421052631,0.010526315789473672,8
1.0,0.0,1.0,0.0,9
1.0,0.0,1.0,0.0,10
1.0,0.0,1.0,0.0,11
1.0,0.0,0.9948717948717949,0.010256410256410265,12
1.0,0.0,0.989608636977058,0.012728557217329656,13
1.0,0.0,0.9947368421052631,0.010526315789473672,14
1.0,0.0,0.989608636977058,0.012728557217329656,15
