clinical_id,neutral_id,n_clinical,n_neutral,ratio,matched
B-terror-d2-v4,N-terror-d2-c4,134,120,0.1045,false
B-terror-d3-v1,N-terror-d3-c1,145,119,0.1793,false
B-terror-d3-v2,N-terror-d3-c2,117,117,0.0,true
B-terror-d3-v3,N-terror-d3-c3,148,145,0.0203,true
B-terror-d3-v4,N-terror-d3-c4,138,129,0.0652,true
B-vigilance-d1-v1,N-vigilance-d1-c1,156,135,0.1346,false
B-vigilance-d1-v2,N-vigilance-d1-c2,156,134,0.141,false
B-vigilance-d1-v3,N-vigilance-d1-c3,158,133,0.1582,false
B-vigilance-d1-v4,N-vigilance-d1-c4,141,139,0.0142,true
B-vigilance-d2-v1,N-vigilance-d2-c1,165,134,0.1879,false
B-vigilance-d2-v2,N-vigilance-d2-c2,150,130,0.1333,false
B-vigilance-d2-v3,N-vigilance-d2-c3,149,132,0.1141,false
B-vigilance-d2-v4,N-vigilance-d2-c4,161,130,0.1925,false
B-vigilance-d3-v1,N-vigilance-d3-c1,175,145,0.1714,false
B-vigilance-d3-v2,N-vigilance-d3-c2,157,134,0.1465,false
B-vigilance-d3-v3,N-vigilance-d3-c3,172,147,0.1453,false
B-vigilance-d3-v4,N-vigilance-d3-c4,171,139,0.1871,false
