layer,head,norm_depth,seta_emo_kw_prop,setb_emo_kw_prop,emo_sensitivity
5,1,0.375,0.0,0.0,0.0
5,2,0.375,0.0,0.0,0.0
5,3,0.375,0.0,0.0,0.0
5,4,0.375,0.0,0.0,0.0
5,5,0.375,0.0,0.0,0.0
5,6,0.375,0.0,0.0,0.0
5,7,0.375,0.0,0.0,0.0
5,8,0.375,0.012500000186264515,0.0,0.012500000186264515
5,9,0.375,0.0,0.0,0.0
5,10,0.375,1.0,1.0,0.0
5,11,0.375,0.0,0.0,0.0
5,12,0.375,0.0,0.0,0.0
5,13,0.375,0.0,0.0,0.0
5,14,0.375,0.0,0.0,0.0
5,15,0.375,0.0,0.0,0.0
5,16,0.375,0.0,0.0,0.0
5,17,0.375,0.0,0.0,0.0
5,18,0.375,0.0,0.0,0.0
5,19,0.375,0.0,0.0,0.0
5,20,0.375,0.0,0.0,0.0
5,21,0.375,0.0,0.0,0.0
5,22,0.375,0.0,0.0,0.0
5,23,0.375,0.0,0.0,0.0
5,24,0.375,0.0,0.0,0.0
5,25,0.375,0.0,0.0,0.0
5,26,0.375,0.0,0.0,0.0
5,27,0.375,0.0,0.0,0.0
5,28,0.375,0.0,0.0,0.0
5,29,0.375,0.0,0.0,0.0
5,30,0.375,0.0,0.0,0.0
5,31,0.375,0.0,0.0,0.0
6,0,0.4375,0.0,0.0,0.0
6,1,0.4375,0.0,0.0,0.0
6,2,0.4375,0.0,0.0,0.0
6,3,0.4375,0.0,0.0,0.0
6,4,0.4375,0.0,0.0,0.0
6,5,0.4375,0.0,0.0,0.0
6,6,0.4375,0.0,0.0,0.0
6,7,0.4375,0.0,0.0,0.0
6,8,0.4375,0.0,0.0,0.0
6,9,0.4375,0.0,0.0,0.0
6,10,0.4375,0.0,0.0,0.0
6,11,0.4375,0.0,0.0,0.0
6,12,0.4375,0.0,0.0,0.0
6,13,0.4375,0.0,0.0,0.0
6,14,0.4375,0.0,0.0,0.0
6,15,0.4375,0.012500000186264515,0.0,0.012500000186264515
6,16,0.4375,0.0,0.0,0.0
6,17,0.4375,0.0,0.0,0.0
6,18,0.4375,0.0,0.0,0.0
6,19,0.4375,0.03750000149011612,0.0,0.03750000149011612
6,20,0.4375,0.0,0.0,0.0
6,21,0.4375,0.0,0.0,0.0
6,22,0.4375,0.0,0.0,0.0
6,23,0.4375,0.0,0.0,0.0
6,24,0.4375,0.0,0.0,0.0
6,25,0.4375,0.07500000298023224,0.0,0.07500000298023224
6,26,0.4375,0.0,0.0,0.0
6,27,0.4375,0.0,0.0,0.0
6,28,0.4375,0.0,0.0,0.0
6,29,0.4375,0.0,0.0,0.0
6,30,0.4375,0.0,0.0,0.0
6,31,0.4375,0.012500000186264515,0.0,0.012500000186264515
7,0,0.5,0.0,0.0,0.0
7,1,0.5,0.08749999850988388,0.0,0.08749999850988388
7,2,0.5,0.0,0.0,0.0
7,3,0.5,0.0,0.0,0.0
7,4,0.5,0.02500000037252903,0.0,0.02500000037252903
7,5,0.5,1.0,1.0,0.0
7,6,0.5,1.0,1.0,0.0
7,7,0.5,0.0,0.0,0.0
7,8,0.5,0.0,0.0,0.0
7,9,0.5,0.0,0.0,0.0
7,10,0.5,0.0,0.0,0.0
7,11,0.5,0.0,0.0,0.0
7,12,0.5,0.0,0.0,0.0
7,13,0.5,0.012500000186264515,0.0,0.012500000186264515
7,14,0.5,0.612500011920929,0.75,-0.13749998807907104
7,15,0.5,0.0,0.0,0.0
7,16,0.5,0.0,0.0,0.0
7,17,0.5,0.02500000037252903,0.0,0.02500000037252903
7,18,0.5,0.16249999403953552,0.0,0.16249999403953552
7,19,0.5,0.0,0.0,0.0
7,20,0.5,0.0,0.0,0.0
7,21,0.5,0.75,0.8020833134651184,-0.05208331346511841
7,22,0.5,0.0,0.0,0.0
7,23,0.5,0.26249998807907104,0.0625,0.19999998807907104
7,24,0.5,0.0625,0.0,0.0625
7,25,0.5,0.07500000298023224,0.0,0.07500000298023224
7,26,0.5,0.02500000037252903,0.0,0.02500000037252903
7,27,0.5,0.0,0.0,0.0
7,28,0.5,0.17499999701976776,0.3020833432674408,-0.12708334624767303
7,29,0.5,0.0,0.0,0.0
7,30,0.5,0.4749999940395355,0.6875,-0.21250000596046448
7,31,0.5,0.0,0.0,0.0
8,0,0.5625,0.012500000186264515,0.0,0.012500000186264515
8,1,0.5625,0.03750000149011612,0.010416666977107525,0.02708333358168602
8,2,0.5625,0.03750000149011612,0.0,0.03750000149011612
8,3,0.5625,0.0,0.0,0.0
8,4,0.5625,0.824999988079071,1.0,-0.17500001192092896
8,5,0.5625,0.17499999701976776,0.02083333395421505,0.15416666865348816
8,6,0.5625,0.1875,0.0,0.1875
8,7,0.5625,0.6000000238418579,0.8125,-0.2124999761581421
8,8,0.5625,0.0,0.0,0.0
8,9,0.5625,0.0,0.0,0.0
8,10,0.5625,0.0,0.0,0.0
8,11,0.5625,0.0,0.0,0.0
8,12,0.5625,0.0,0.0,0.0
8,13,0.5625,0.3375000059604645,0.53125,-0.19374999403953552
8,14,0.5625,0.0,0.0,0.0
8,15,0.5625,0.0,0.0,0.0
8,16,0.5625,0.0,0.0,0.0
8,17,0.5625,0.0,0.0,0.0
8,18,0.5625,0.0,0.0,0.0
8,19,0.5625,0.0,0.0,0.0
8,20,0.5625,0.03750000149011612,0.0,0.03750000149011612
8,21,0.5625,0.9125000238418579,1.0,-0.08749997615814209
8,22,0.5625,0.22499999403953552,0.1145833358168602,0.11041665822267532
8,23,0.5625,0.1875,0.0,0.1875
8,24,0.5625,0.3499999940395355,0.0,0.3499999940395355
8,25,0.5625,0.0,0.0,0.0
8,26,0.5625,0.0,0.0,0.0
8,27,0.5625,0.0,0.0,0.0
8,28,0.5625,0.0,0.0,0.0
8,29,0.5625,0.4749999940395355,0.1458333283662796,0.3291666507720947
8,30,0.5625,0.0,0.0,0.0
8,31,0.5625,0.949999988079071,1.0,-0.050000011920928955
9,0,0.625,0.3125,0.010416666977107525,0.3020833432674408
9,1,0.625,0.0,0.0,0.0
9,2,0.625,0.0,0.0,0.0
9,3,0.625,0.22499999403953552,0.0,0.22499999403953552
9,4,0.625,0.7875000238418579,0.8125,-0.02499997615814209
9,5,0.625,0.125,0.3645833432674408,-0.2395833432674408
9,6,0.625,0.13750000298023224,0.46875,-0.33125001192092896
9,7,0.625,0.0,0.0,0.0
9,8,0.625,0.7250000238418579,0.8645833134651184,-0.1395832896232605
9,9,0.625,0.0,0.0,0.0
9,10,0.625,0.0,0.0,0.0
9,11,0.625,0.0,0.0,0.0
9,12,0.625,0.0,0.0,0.0
9,13,0.625,1.0,1.0,0.0
9,14,0.625,0.6875,0.875,-0.1875
9,15,0.625,0.9624999761581421,1.0,-0.03750002384185791
9,16,0.625,1.0,1.0,0.0
9,17,0.625,0.0,0.0,0.0
9,18,0.625,0.44999998807907104,0.90625,-0.45625001192092896
9,19,0.625,0.0,0.0,0.0
9,20,0.625,0.0,0.0,0.0
9,21,0.625,0.125,0.03125,0.09375
9,22,0.625,0.0,0.0,0.0
9,23,0.625,0.08749999850988388,0.02083333395421505,0.06666666269302368
9,24,0.625,0.10000000149011612,0.0,0.10000000149011612
9,25,0.625,0.07500000298023224,0.0,0.07500000298023224
9,26,0.625,0.0,0.0,0.0
9,27,0.625,0.512499988079071,0.9791666865348816,-0.46666669845581055
9,28,0.625,0.0,0.0,0.0
9,29,0.625,0.4375,0.3854166567325592,0.052083343267440796
9,30,0.625,0.0,0.0,0.0
9,31,0.625,0.9624999761581421,1.0,-0.03750002384185791
10,0,0.6875,0.0,0.0,0.0
10,1,0.6875,0.0,0.0,0.0
10,2,0.6875,0.0,0.0,0.0
10,3,0.6875,0.0,0.0,0.0
10,4,0.6875,0.0,0.0,0.0
10,5,0.6875,0.0,0.0,0.0
10,6,0.6875,0.0,0.0,0.0
10,7,0.6875,0.0,0.0,0.0
10,8,0.6875,0.0,0.0,0.0
10,9,0.6875,0.9624999761581421,1.0,-0.03750002384185791
10,10,0.6875,0.42500001192092896,0.010416666977107525,0.41458335518836975
10,11,0.6875,0.0,0.0,0.0
10,12,0.6875,0.0,0.0,0.0
10,13,0.6875,0.8374999761581421,0.5729166865348816,0.2645832896232605
10,14,0.6875,0.0,0.0,0.0
10,15,0.6875,0.11249999701976776,0.0,0.11249999701976776
10,16,0.6875,0.0,0.0,0.0
10,17,0.6875,0.0,0.0,0.0
10,18,0.6875,0.0,0.0,0.0
10,19,0.6875,0.0,0.0,0.0
10,20,0.6875,0.0,0.0,0.0
10,21,0.6875,0.012500000186264515,0.02083333395421505,-0.008333333767950535
10,22,0.6875,0.0,0.0,0.0
10,23,0.6875,0.03750000149011612,0.0,0.03750000149011612
10,24,0.6875,0.8125,0.9270833134651184,-0.11458331346511841
10,25,0.6875,0.012500000186264515,0.0,0.012500000186264515
10,26,0.6875,0.0,0.0,0.0
10,27,0.6875,0.0,0.0,0.0
10,28,0.6875,0.0,0.0,0.0
10,29,0.6875,0.0,0.0,0.0
10,30,0.6875,0.03750000149011612,0.0,0.03750000149011612
10,31,0.6875,0.0,0.0,0.0
11,0,0.75,0.0,0.0,0.0
11,1,0.75,0.0,0.0,0.0
11,2,0.75,0.0,0.0,0.0
11,3,0.75,0.0,0.0,0.0
11,4,0.75,0.5375000238418579,0.9583333134651184,-0.4208332896232605
11,5,0.75,0.2750000059604645,0.0,0.2750000059604645
11,6,0.75,0.0,0.0,0.0
11,7,0.75,0.21250000596046448,0.0,0.21250000596046448
11,8,0.75,0.0,0.0,0.0
11,9,0.75,0.0,0.0,0.0
11,10,0.75,0.0,0.0,0.0
11,11,0.75,0.0,0.0,0.0
11,12,0.75,0.0,0.0,0.0
11,13,0.75,0.0,0.0,0.0
11,14,0.75,0.0,0.0,0.0
11,15,0.75,0.0,0.0,0.0
11,16,0.75,0.0,0.0,0.0
11,17,0.75,0.0,0.0,0.0
11,18,0.75,0.0,0.0,0.0
11,19,0.75,0.0,0.0,0.0
11,20,0.75,0.0,0.0,0.0
11,21,0.75,0.0,0.0,0.0
11,22,0.75,0.4749999940395355,0.0,0.4749999940395355
11,23,0.75,0.7250000238418579,1.0,-0.2749999761581421
11,24,0.75,0.0,0.010416666977107525,-0.010416666977107525
11,25,0.75,0.15000000596046448,0.0,0.15000000596046448
11,26,0.75,0.0,0.0,0.0
11,27,0.75,0.03750000149011612,0.0,0.03750000149011612
11,28,0.75,0.0,0.0,0.0
11,29,0.75,0.0,0.0,0.0
11,30,0.75,0.0,0.0,0.0
11,31,0.75,0.0,0.0,0.0
12,0,0.8125,0.0,0.0,0.0
12,1,0.8125,0.0,0.0,0.0
12,2,0.8125,0.02500000037252903,0.0,0.02500000037252903
12,3,0.8125,0.0,0.0,0.0
12,4,0.8125,0.0,0.0,0.0
12,5,0.8125,0.0,0.0,0.0
12,6,0.8125,0.0,0.0,0.0
12,7,0.8125,0.0,0.0,0.0
12,8,0.8125,0.0,0.0,0.0
12,9,0.8125,0.0,0.0,0.0
12,10,0.8125,0.0,0.0,0.0
12,11,0.8125,0.0,0.0,0.0
12,12,0.8125,0.0,0.0,0.0
12,13,0.8125,0.02500000037252903,0.0,0.02500000037252903
12,14,0.8125,0.0,0.0,0.0
12,15,0.8125,0.762499988079071,0.8854166865348816,-0.12291669845581055
12,16,0.8125,0.0,0.0,0.0
12,17,0.8125,0.0,0.0,0.0
12,18,0.8125,0.0,0.0,0.0
12,19,0.8125,0.0,0.0,0.0
12,20,0.8125,0.0,0.0,0.0
12,21,0.8125,0.0,0.0,0.0
12,22,0.8125,0.0,0.0,0.0
12,23,0.8125,0.0,0.0,0.0
12,24,0.8125,0.0,0.0,0.0
12,25,0.8125,0.0,0.0,0.0
12,26,0.8125,0.0,0.0,0.0
12,27,0.8125,0.0,0.0,0.0
12,28,0.8125,0.0,0.0,0.0
12,29,0.8125,0.0,0.0,0.0
12,30,0.8125,0.0,0.0,0.0
12,31,0.8125,0.0,0.0,0.0
13,0,0.875,0.0,0.0,0.0
13,1,0.875,0.0,0.0,0.0
13,2,0.875,0.0,0.0,0.0
13,3,0.875,0.0,0.0,0.0
13,4,0.875,0.0,0.0,0.0
13,5,0.875,0.0,0.0,0.0
13,6,0.875,0.0,0.0,0.0
13,7,0.875,0.0,0.0,0.0
13,8,0.875,0.0,0.0,0.0
13,9,0.875,0.0,0.0,0.0
13,10,0.875,0.0,0.0,0.0
13,11,0.875,0.0,0.0,0.0
13,12,0.875,0.0,0.0,0.0
13,13,0.875,0.02500000037252903,0.0,0.02500000037252903
13,14,0.875,0.0,0.0,0.0
13,15,0.875,0.0,0.0,0.0
13,16,0.875,0.0,0.0,0.0
13,17,0.875,0.0,0.0,0.0
13,18,0.875,0.0,0.0,0.0
13,19,0.875,0.0,0.0,0.0
13,20,0.875,0.0,0.0,0.0
13,21,0.875,0.0,0.0,0.0
13,22,0.875,0.0,0.0,0.0
13,23,0.875,0.0,0.0,0.0
13,24,0.875,0.0,0.0,0.0
13,25,0.875,0.0,0.0,0.0
13,26,0.875,0.0,0.0,0.0
13,27,0.875,0.0,0.0,0.0
13,28,0.875,0.0,0.0,0.0
13,29,0.875,0.0,0.0,0.0
13,30,0.875,0.0,0.0,0.0
13,31,0.875,0.0,0.0,0.0
14,0,0.9375,0.0,0.0,0.0
14,1,0.9375,0.0,0.0,0.0
14,2,0.9375,0.0,0.0,0.0
14,3,0.9375,0.0,0.0,0.0
14,4,0.9375,0.0,0.0,0.0
14,5,0.9375,0.0,0.0,0.0
